"state"	"year"	"num_electoral_votes"
"75"	"minnesota"	"1792"	NA
"76"	"mississippi"	"1792"	NA
"77"	"missouri"	"1792"	NA
"78"	"montana"	"1792"	NA
"79"	"nebraska"	"1792"	NA
"80"	"nevada"	"1792"	NA
"81"	"new hampshire"	"1792"	6
"82"	"new jersey"	"1792"	7
"83"	"new mexico"	"1792"	NA
"84"	"new york"	"1792"	12
"85"	"north carolina"	"1792"	12
"86"	"north dakota"	"1792"	NA
"87"	"ohio"	"1792"	NA
"88"	"oklahoma"	"1792"	NA
"89"	"oregon"	"1792"	NA
"90"	"pennsylvania"	"1792"	15
"91"	"rhode island"	"1792"	4
"92"	"south carolina"	"1792"	8
"93"	"south dakota"	"1792"	NA
"94"	"tennessee"	"1792"	NA
"95"	"texas"	"1792"	NA
"96"	"utah"	"1792"	NA
"97"	"vermont"	"1792"	4
"98"	"virginia"	"1792"	21
"99"	"washington"	"1792"	NA
"100"	"west virginia"	"1792"	NA
"101"	"wisconsin"	"1792"	NA
"102"	"wyoming"	"1792"	NA
"103"	"alabama"	"1796"	NA
"104"	"alaska"	"1796"	NA
"105"	"arizona"	"1796"	NA
"106"	"arkansas"	"1796"	NA
"107"	"california"	"1796"	NA
"108"	"colorado"	"1796"	NA
"109"	"connecticut"	"1796"	9
"110"	"district of columbia"	"1796"	NA
"111"	"delaware"	"1796"	3
"112"	"florida"	"1796"	NA
"113"	"georgia"	"1796"	4
"114"	"hawaii"	"1796"	NA
"115"	"idaho"	"1796"	NA
"116"	"illinois"	"1796"	NA
"117"	"indiana"	"1796"	NA
"118"	"iowa"	"1796"	NA
"119"	"kansas"	"1796"	NA
"120"	"kentucky"	"1796"	4
"121"	"louisiana"	"1796"	NA
"122"	"maine"	"1796"	NA
"123"	"maryland"	"1796"	10
"124"	"massachusetts"	"1796"	16
"125"	"michigan"	"1796"	NA
"126"	"minnesota"	"1796"	NA
"127"	"mississippi"	"1796"	NA
"128"	"missouri"	"1796"	NA
"129"	"montana"	"1796"	NA
"130"	"nebraska"	"1796"	NA
"131"	"nevada"	"1796"	NA
"132"	"new hampshire"	"1796"	6
"133"	"new jersey"	"1796"	7
"134"	"new mexico"	"1796"	NA
"135"	"new york"	"1796"	12
"136"	"north carolina"	"1796"	12
"137"	"north dakota"	"1796"	NA
"138"	"ohio"	"1796"	NA
"139"	"oklahoma"	"1796"	NA
"140"	"oregon"	"1796"	NA
"141"	"pennsylvania"	"1796"	15
"142"	"rhode island"	"1796"	4
"143"	"south carolina"	"1796"	8
"144"	"south dakota"	"1796"	NA
"145"	"tennessee"	"1796"	3
"146"	"texas"	"1796"	NA
"147"	"utah"	"1796"	NA
"148"	"vermont"	"1796"	4
"149"	"virginia"	"1796"	21
"150"	"washington"	"1796"	NA
"151"	"west virginia"	"1796"	NA
"152"	"wisconsin"	"1796"	NA
"153"	"wyoming"	"1796"	NA
"154"	"alabama"	"1800"	NA
"155"	"alaska"	"1800"	NA
"156"	"arizona"	"1800"	NA
"157"	"arkansas"	"1800"	NA
"158"	"california"	"1800"	NA
"159"	"colorado"	"1800"	NA
"160"	"connecticut"	"1800"	9
"161"	"district of columbia"	"1800"	NA
"162"	"delaware"	"1800"	3
"163"	"florida"	"1800"	NA
"164"	"georgia"	"1800"	4
"165"	"hawaii"	"1800"	NA
"166"	"idaho"	"1800"	NA
"167"	"illinois"	"1800"	NA
"168"	"indiana"	"1800"	NA
"169"	"iowa"	"1800"	NA
"170"	"kansas"	"1800"	NA
"171"	"kentucky"	"1800"	4
"172"	"louisiana"	"1800"	NA
"173"	"maine"	"1800"	NA
"174"	"maryland"	"1800"	10
"175"	"massachusetts"	"1800"	16
"176"	"michigan"	"1800"	NA
"177"	"minnesota"	"1800"	NA
"178"	"mississippi"	"1800"	NA
"179"	"missouri"	"1800"	NA
"180"	"montana"	"1800"	NA
"181"	"nebraska"	"1800"	NA
"182"	"nevada"	"1800"	NA
"183"	"new hampshire"	"1800"	6
"184"	"new jersey"	"1800"	7
"185"	"new mexico"	"1800"	NA
"186"	"new york"	"1800"	12
"187"	"north carolina"	"1800"	12
"188"	"north dakota"	"1800"	NA
"189"	"ohio"	"1800"	NA
"190"	"oklahoma"	"1800"	NA
"191"	"oregon"	"1800"	NA
"192"	"pennsylvania"	"1800"	15
"193"	"rhode island"	"1800"	4
"194"	"south carolina"	"1800"	8
"195"	"south dakota"	"1800"	NA
"196"	"tennessee"	"1800"	3
"197"	"texas"	"1800"	NA
"198"	"utah"	"1800"	NA
"199"	"vermont"	"1800"	4
"200"	"virginia"	"1800"	21
"201"	"washington"	"1800"	NA
"202"	"west virginia"	"1800"	NA
"203"	"wisconsin"	"1800"	NA
"204"	"wyoming"	"1800"	NA
"205"	"alabama"	"1804"	NA
"206"	"alaska"	"1804"	NA
"207"	"arizona"	"1804"	NA
"208"	"arkansas"	"1804"	NA
"209"	"california"	"1804"	NA
"210"	"colorado"	"1804"	NA
"211"	"connecticut"	"1804"	9
"212"	"district of columbia"	"1804"	NA
"213"	"delaware"	"1804"	3
"214"	"florida"	"1804"	NA
"215"	"georgia"	"1804"	6
"216"	"hawaii"	"1804"	NA
"217"	"idaho"	"1804"	NA
"218"	"illinois"	"1804"	NA
"219"	"indiana"	"1804"	NA
"220"	"iowa"	"1804"	NA
"221"	"kansas"	"1804"	NA
"222"	"kentucky"	"1804"	8
"223"	"louisiana"	"1804"	NA
"224"	"maine"	"1804"	NA
"225"	"maryland"	"1804"	11
"226"	"massachusetts"	"1804"	19
"227"	"michigan"	"1804"	NA
"228"	"minnesota"	"1804"	NA
"229"	"mississippi"	"1804"	NA
"230"	"missouri"	"1804"	NA
"231"	"montana"	"1804"	NA
"232"	"nebraska"	"1804"	NA
"233"	"nevada"	"1804"	NA
"234"	"new hampshire"	"1804"	7
"235"	"new jersey"	"1804"	8
"236"	"new mexico"	"1804"	NA
"237"	"new york"	"1804"	19
"238"	"north carolina"	"1804"	14
"239"	"north dakota"	"1804"	NA
"240"	"ohio"	"1804"	3
"241"	"oklahoma"	"1804"	NA
"242"	"oregon"	"1804"	NA
"243"	"pennsylvania"	"1804"	20
"244"	"rhode island"	"1804"	4
"245"	"south carolina"	"1804"	10
"246"	"south dakota"	"1804"	NA
"247"	"tennessee"	"1804"	5
"248"	"texas"	"1804"	NA
"249"	"utah"	"1804"	NA
"250"	"vermont"	"1804"	6
"251"	"virginia"	"1804"	24
"252"	"washington"	"1804"	NA
"253"	"west virginia"	"1804"	NA
"254"	"wisconsin"	"1804"	NA
"255"	"wyoming"	"1804"	NA
"256"	"alabama"	"1808"	NA
"257"	"alaska"	"1808"	NA
"258"	"arizona"	"1808"	NA
"259"	"arkansas"	"1808"	NA
"260"	"california"	"1808"	NA
"261"	"colorado"	"1808"	NA
"262"	"connecticut"	"1808"	9
"263"	"district of columbia"	"1808"	NA
"264"	"delaware"	"1808"	3
"265"	"florida"	"1808"	NA
"266"	"georgia"	"1808"	6
"267"	"hawaii"	"1808"	NA
"268"	"idaho"	"1808"	NA
"269"	"illinois"	"1808"	NA
"270"	"indiana"	"1808"	NA
"271"	"iowa"	"1808"	NA
"272"	"kansas"	"1808"	NA
"273"	"kentucky"	"1808"	8
"274"	"louisiana"	"1808"	NA
"275"	"maine"	"1808"	NA
"276"	"maryland"	"1808"	11
"277"	"massachusetts"	"1808"	19
"278"	"michigan"	"1808"	NA
"279"	"minnesota"	"1808"	NA
"280"	"mississippi"	"1808"	NA
"281"	"missouri"	"1808"	NA
"282"	"montana"	"1808"	NA
"283"	"nebraska"	"1808"	NA
"284"	"nevada"	"1808"	NA
"285"	"new hampshire"	"1808"	7
"286"	"new jersey"	"1808"	8
"287"	"new mexico"	"1808"	NA
"288"	"new york"	"1808"	19
"289"	"north carolina"	"1808"	14
"290"	"north dakota"	"1808"	NA
"291"	"ohio"	"1808"	3
"292"	"oklahoma"	"1808"	NA
"293"	"oregon"	"1808"	NA
"294"	"pennsylvania"	"1808"	20
"295"	"rhode island"	"1808"	4
"296"	"south carolina"	"1808"	10
"297"	"south dakota"	"1808"	NA
"298"	"tennessee"	"1808"	5
"299"	"texas"	"1808"	NA
"300"	"utah"	"1808"	NA
"301"	"vermont"	"1808"	6
"302"	"virginia"	"1808"	24
"303"	"washington"	"1808"	NA
"304"	"west virginia"	"1808"	NA
"305"	"wisconsin"	"1808"	NA
"306"	"wyoming"	"1808"	NA
"307"	"alabama"	"1812"	NA
"308"	"alaska"	"1812"	NA
"309"	"arizona"	"1812"	NA
"310"	"arkansas"	"1812"	NA
"311"	"california"	"1812"	NA
"312"	"colorado"	"1812"	NA
"313"	"connecticut"	"1812"	9
"314"	"district of columbia"	"1812"	NA
"315"	"delaware"	"1812"	4
"316"	"florida"	"1812"	NA
"317"	"georgia"	"1812"	8
"318"	"hawaii"	"1812"	NA
"319"	"idaho"	"1812"	NA
"320"	"illinois"	"1812"	NA
"321"	"indiana"	"1812"	NA
"322"	"iowa"	"1812"	NA
"323"	"kansas"	"1812"	NA
"324"	"kentucky"	"1812"	12
"325"	"louisiana"	"1812"	3
"326"	"maine"	"1812"	NA
"327"	"maryland"	"1812"	11
"328"	"massachusetts"	"1812"	22
"329"	"michigan"	"1812"	NA
"330"	"minnesota"	"1812"	NA
"331"	"mississippi"	"1812"	NA
"332"	"missouri"	"1812"	NA
"333"	"montana"	"1812"	NA
"334"	"nebraska"	"1812"	NA
"335"	"nevada"	"1812"	NA
"336"	"new hampshire"	"1812"	8
"337"	"new jersey"	"1812"	8
"338"	"new mexico"	"1812"	NA
"339"	"new york"	"1812"	29
"340"	"north carolina"	"1812"	15
"341"	"north dakota"	"1812"	NA
"342"	"ohio"	"1812"	8
"343"	"oklahoma"	"1812"	NA
"344"	"oregon"	"1812"	NA
"345"	"pennsylvania"	"1812"	25
"346"	"rhode island"	"1812"	4
"347"	"south carolina"	"1812"	11
"348"	"south dakota"	"1812"	NA
"349"	"tennessee"	"1812"	8
"350"	"texas"	"1812"	NA
"351"	"utah"	"1812"	NA
"352"	"vermont"	"1812"	8
"353"	"virginia"	"1812"	25
"354"	"washington"	"1812"	NA
"355"	"west virginia"	"1812"	NA
"356"	"wisconsin"	"1812"	NA
"357"	"wyoming"	"1812"	NA
"358"	"alabama"	"1816"	NA
"359"	"alaska"	"1816"	NA
"360"	"arizona"	"1816"	NA
"361"	"arkansas"	"1816"	NA
"362"	"california"	"1816"	NA
"363"	"colorado"	"1816"	NA
"364"	"connecticut"	"1816"	9
"365"	"district of columbia"	"1816"	NA
"366"	"delaware"	"1816"	4
"367"	"florida"	"1816"	NA
"368"	"georgia"	"1816"	8
"369"	"hawaii"	"1816"	NA
"370"	"idaho"	"1816"	NA
"371"	"illinois"	"1816"	NA
"372"	"indiana"	"1816"	3
"373"	"iowa"	"1816"	NA
"374"	"kansas"	"1816"	NA
"375"	"kentucky"	"1816"	12
"376"	"louisiana"	"1816"	3
"377"	"maine"	"1816"	NA
"378"	"maryland"	"1816"	11
"379"	"massachusetts"	"1816"	22
"380"	"michigan"	"1816"	NA
"381"	"minnesota"	"1816"	NA
"382"	"mississippi"	"1816"	NA
"383"	"missouri"	"1816"	NA
"384"	"montana"	"1816"	NA
"385"	"nebraska"	"1816"	NA
"386"	"nevada"	"1816"	NA
"387"	"new hampshire"	"1816"	8
"388"	"new jersey"	"1816"	8
"389"	"new mexico"	"1816"	NA
"390"	"new york"	"1816"	29
"391"	"north carolina"	"1816"	15
"392"	"north dakota"	"1816"	NA
"393"	"ohio"	"1816"	8
"394"	"oklahoma"	"1816"	NA
"395"	"oregon"	"1816"	NA
"396"	"pennsylvania"	"1816"	25
"397"	"rhode island"	"1816"	4
"398"	"south carolina"	"1816"	11
"399"	"south dakota"	"1816"	NA
"400"	"tennessee"	"1816"	8
"401"	"texas"	"1816"	NA
"402"	"utah"	"1816"	NA
"403"	"vermont"	"1816"	8
"404"	"virginia"	"1816"	25
"405"	"washington"	"1816"	NA
"406"	"west virginia"	"1816"	NA
"407"	"wisconsin"	"1816"	NA
"408"	"wyoming"	"1816"	NA
"409"	"alabama"	"1820"	3
"410"	"alaska"	"1820"	NA
"411"	"arizona"	"1820"	NA
"412"	"arkansas"	"1820"	NA
"413"	"california"	"1820"	NA
"414"	"colorado"	"1820"	NA
"415"	"connecticut"	"1820"	9
"416"	"district of columbia"	"1820"	NA
"417"	"delaware"	"1820"	4
"418"	"florida"	"1820"	NA
"419"	"georgia"	"1820"	8
"420"	"hawaii"	"1820"	NA
"421"	"idaho"	"1820"	NA
"422"	"illinois"	"1820"	3
"423"	"indiana"	"1820"	3
"424"	"iowa"	"1820"	NA
"425"	"kansas"	"1820"	NA
"426"	"kentucky"	"1820"	12
"427"	"louisiana"	"1820"	3
"428"	"maine"	"1820"	9
"429"	"maryland"	"1820"	11
"430"	"massachusetts"	"1820"	15
"431"	"michigan"	"1820"	NA
"432"	"minnesota"	"1820"	NA
"433"	"mississippi"	"1820"	3
"434"	"missouri"	"1820"	3
"435"	"montana"	"1820"	NA
"436"	"nebraska"	"1820"	NA
"437"	"nevada"	"1820"	NA
"438"	"new hampshire"	"1820"	8
"439"	"new jersey"	"1820"	8
"440"	"new mexico"	"1820"	NA
"441"	"new york"	"1820"	29
"442"	"north carolina"	"1820"	15
"443"	"north dakota"	"1820"	NA
"444"	"ohio"	"1820"	8
"445"	"oklahoma"	"1820"	NA
"446"	"oregon"	"1820"	NA
"447"	"pennsylvania"	"1820"	25
"448"	"rhode island"	"1820"	4
"449"	"south carolina"	"1820"	11
"450"	"south dakota"	"1820"	NA
"451"	"tennessee"	"1820"	8
"452"	"texas"	"1820"	NA
"453"	"utah"	"1820"	NA
"454"	"vermont"	"1820"	8
"455"	"virginia"	"1820"	25
"456"	"washington"	"1820"	NA
"457"	"west virginia"	"1820"	NA
"458"	"wisconsin"	"1820"	NA
"459"	"wyoming"	"1820"	NA
"460"	"alabama"	"1824"	5
"461"	"alaska"	"1824"	NA
"462"	"arizona"	"1824"	NA
"463"	"arkansas"	"1824"	NA
"464"	"california"	"1824"	NA
"465"	"colorado"	"1824"	NA
"466"	"connecticut"	"1824"	8
"467"	"district of columbia"	"1824"	NA
"468"	"delaware"	"1824"	3
"469"	"florida"	"1824"	NA
"470"	"georgia"	"1824"	9
"471"	"hawaii"	"1824"	NA
"472"	"idaho"	"1824"	NA
"473"	"illinois"	"1824"	3
"474"	"indiana"	"1824"	5
"475"	"iowa"	"1824"	NA
"476"	"kansas"	"1824"	NA
"477"	"kentucky"	"1824"	14
"478"	"louisiana"	"1824"	5
"479"	"maine"	"1824"	9
"480"	"maryland"	"1824"	11
"481"	"massachusetts"	"1824"	15
"482"	"michigan"	"1824"	NA
"483"	"minnesota"	"1824"	NA
"484"	"mississippi"	"1824"	3
"485"	"missouri"	"1824"	3
"486"	"montana"	"1824"	NA
"487"	"nebraska"	"1824"	NA
"488"	"nevada"	"1824"	NA
"489"	"new hampshire"	"1824"	8
"490"	"new jersey"	"1824"	8
"491"	"new mexico"	"1824"	NA
"492"	"new york"	"1824"	36
"493"	"north carolina"	"1824"	15
"494"	"north dakota"	"1824"	NA
"495"	"ohio"	"1824"	16
"496"	"oklahoma"	"1824"	NA
"497"	"oregon"	"1824"	NA
"498"	"pennsylvania"	"1824"	28
"499"	"rhode island"	"1824"	4
"500"	"south carolina"	"1824"	11
"501"	"south dakota"	"1824"	NA
"502"	"tennessee"	"1824"	11
"503"	"texas"	"1824"	NA
"504"	"utah"	"1824"	NA
"505"	"vermont"	"1824"	7
"506"	"virginia"	"1824"	24
"507"	"washington"	"1824"	NA
"508"	"west virginia"	"1824"	NA
"509"	"wisconsin"	"1824"	NA
"510"	"wyoming"	"1824"	NA
"511"	"alabama"	"1828"	5
"512"	"alaska"	"1828"	NA
"513"	"arizona"	"1828"	NA
"514"	"arkansas"	"1828"	NA
"515"	"california"	"1828"	NA
"516"	"colorado"	"1828"	NA
"517"	"connecticut"	"1828"	8
"518"	"district of columbia"	"1828"	NA
"519"	"delaware"	"1828"	3
"520"	"florida"	"1828"	NA
"521"	"georgia"	"1828"	9
"522"	"hawaii"	"1828"	NA
"523"	"idaho"	"1828"	NA
"524"	"illinois"	"1828"	3
"525"	"indiana"	"1828"	5
"526"	"iowa"	"1828"	NA
"527"	"kansas"	"1828"	NA
"528"	"kentucky"	"1828"	14
"529"	"louisiana"	"1828"	5
"530"	"maine"	"1828"	9
"531"	"maryland"	"1828"	11
"532"	"massachusetts"	"1828"	15
"533"	"michigan"	"1828"	NA
"534"	"minnesota"	"1828"	NA
"535"	"mississippi"	"1828"	3
"536"	"missouri"	"1828"	3
"537"	"montana"	"1828"	NA
"538"	"nebraska"	"1828"	NA
"539"	"nevada"	"1828"	NA
"540"	"new hampshire"	"1828"	8
"541"	"new jersey"	"1828"	8
"542"	"new mexico"	"1828"	NA
"543"	"new york"	"1828"	36
"544"	"north carolina"	"1828"	15
"545"	"north dakota"	"1828"	NA
"546"	"ohio"	"1828"	16
"547"	"oklahoma"	"1828"	NA
"548"	"oregon"	"1828"	NA
"549"	"pennsylvania"	"1828"	28
"550"	"rhode island"	"1828"	4
"551"	"south carolina"	"1828"	11
"552"	"south dakota"	"1828"	NA
"553"	"tennessee"	"1828"	11
"554"	"texas"	"1828"	NA
"555"	"utah"	"1828"	NA
"556"	"vermont"	"1828"	7
"557"	"virginia"	"1828"	24
"558"	"washington"	"1828"	NA
"559"	"west virginia"	"1828"	NA
"560"	"wisconsin"	"1828"	NA
"561"	"wyoming"	"1828"	NA
"562"	"alabama"	"1832"	7
"563"	"alaska"	"1832"	NA
"564"	"arizona"	"1832"	NA
"565"	"arkansas"	"1832"	NA
"566"	"california"	"1832"	NA
"567"	"colorado"	"1832"	NA
"568"	"connecticut"	"1832"	8
"569"	"district of columbia"	"1832"	NA
"570"	"delaware"	"1832"	3
"571"	"florida"	"1832"	NA
"572"	"georgia"	"1832"	11
"573"	"hawaii"	"1832"	NA
"574"	"idaho"	"1832"	NA
"575"	"illinois"	"1832"	5
"576"	"indiana"	"1832"	9
"577"	"iowa"	"1832"	NA
"578"	"kansas"	"1832"	NA
"579"	"kentucky"	"1832"	15
"580"	"louisiana"	"1832"	5
"581"	"maine"	"1832"	10
"582"	"maryland"	"1832"	10
"583"	"massachusetts"	"1832"	14
"584"	"michigan"	"1832"	NA
"585"	"minnesota"	"1832"	NA
"586"	"mississippi"	"1832"	4
"587"	"missouri"	"1832"	4
"588"	"montana"	"1832"	NA
"589"	"nebraska"	"1832"	NA
"590"	"nevada"	"1832"	NA
"591"	"new hampshire"	"1832"	7
"592"	"new jersey"	"1832"	8
"593"	"new mexico"	"1832"	NA
"594"	"new york"	"1832"	42
"595"	"north carolina"	"1832"	15
"596"	"north dakota"	"1832"	NA
"597"	"ohio"	"1832"	21
"598"	"oklahoma"	"1832"	NA
"599"	"oregon"	"1832"	NA
"600"	"pennsylvania"	"1832"	30
"601"	"rhode island"	"1832"	4
"602"	"south carolina"	"1832"	11
"603"	"south dakota"	"1832"	NA
"604"	"tennessee"	"1832"	15
"605"	"texas"	"1832"	NA
"606"	"utah"	"1832"	NA
"607"	"vermont"	"1832"	7
"608"	"virginia"	"1832"	23
"609"	"washington"	"1832"	NA
"610"	"west virginia"	"1832"	NA
"611"	"wisconsin"	"1832"	NA
"612"	"wyoming"	"1832"	NA
"613"	"alabama"	"1836"	7
"614"	"alaska"	"1836"	NA
"615"	"arizona"	"1836"	NA
"616"	"arkansas"	"1836"	3
"617"	"california"	"1836"	NA
"618"	"colorado"	"1836"	NA
"619"	"connecticut"	"1836"	8
"620"	"district of columbia"	"1836"	NA
"621"	"delaware"	"1836"	3
"622"	"florida"	"1836"	NA
"623"	"georgia"	"1836"	11
"624"	"hawaii"	"1836"	NA
"625"	"idaho"	"1836"	NA
"626"	"illinois"	"1836"	5
"627"	"indiana"	"1836"	9
"628"	"iowa"	"1836"	NA
"629"	"kansas"	"1836"	NA
"630"	"kentucky"	"1836"	15
"631"	"louisiana"	"1836"	5
"632"	"maine"	"1836"	10
"633"	"maryland"	"1836"	10
"634"	"massachusetts"	"1836"	14
"635"	"michigan"	"1836"	3
"636"	"minnesota"	"1836"	NA
"637"	"mississippi"	"1836"	4
"638"	"missouri"	"1836"	4
"639"	"montana"	"1836"	NA
"640"	"nebraska"	"1836"	NA
"641"	"nevada"	"1836"	NA
"642"	"new hampshire"	"1836"	7
"643"	"new jersey"	"1836"	8
"644"	"new mexico"	"1836"	NA
"645"	"new york"	"1836"	42
"646"	"north carolina"	"1836"	15
"647"	"north dakota"	"1836"	NA
"648"	"ohio"	"1836"	21
"649"	"oklahoma"	"1836"	NA
"650"	"oregon"	"1836"	NA
"651"	"pennsylvania"	"1836"	30
"652"	"rhode island"	"1836"	4
"653"	"south carolina"	"1836"	11
"654"	"south dakota"	"1836"	NA
"655"	"tennessee"	"1836"	15
"656"	"texas"	"1836"	NA
"657"	"utah"	"1836"	NA
"658"	"vermont"	"1836"	7
"659"	"virginia"	"1836"	23
"660"	"washington"	"1836"	NA
"661"	"west virginia"	"1836"	NA
"662"	"wisconsin"	"1836"	NA
"663"	"wyoming"	"1836"	NA
"664"	"alabama"	"1840"	7
"665"	"alaska"	"1840"	NA
"666"	"arizona"	"1840"	NA
"667"	"arkansas"	"1840"	3
"668"	"california"	"1840"	NA
"669"	"colorado"	"1840"	NA
"670"	"connecticut"	"1840"	8
"671"	"district of columbia"	"1840"	NA
"672"	"delaware"	"1840"	3
"673"	"florida"	"1840"	NA
"674"	"georgia"	"1840"	11
"675"	"hawaii"	"1840"	NA
"676"	"idaho"	"1840"	NA
"677"	"illinois"	"1840"	5
"678"	"indiana"	"1840"	9
"679"	"iowa"	"1840"	NA
"680"	"kansas"	"1840"	NA
"681"	"kentucky"	"1840"	15
"682"	"louisiana"	"1840"	5
"683"	"maine"	"1840"	10
"684"	"maryland"	"1840"	10
"685"	"massachusetts"	"1840"	14
"686"	"michigan"	"1840"	3
"687"	"minnesota"	"1840"	NA
"688"	"mississippi"	"1840"	4
"689"	"missouri"	"1840"	4
"690"	"montana"	"1840"	NA
"691"	"nebraska"	"1840"	NA
"692"	"nevada"	"1840"	NA
"693"	"new hampshire"	"1840"	7
"694"	"new jersey"	"1840"	8
"695"	"new mexico"	"1840"	NA
"696"	"new york"	"1840"	42
"697"	"north carolina"	"1840"	15
"698"	"north dakota"	"1840"	NA
"699"	"ohio"	"1840"	21
"700"	"oklahoma"	"1840"	NA
"701"	"oregon"	"1840"	NA
"702"	"pennsylvania"	"1840"	30
"703"	"rhode island"	"1840"	4
"704"	"south carolina"	"1840"	11
"705"	"south dakota"	"1840"	NA
"706"	"tennessee"	"1840"	15
"707"	"texas"	"1840"	NA
"708"	"utah"	"1840"	NA
"709"	"vermont"	"1840"	7
"710"	"virginia"	"1840"	23
"711"	"washington"	"1840"	NA
"712"	"west virginia"	"1840"	NA
"713"	"wisconsin"	"1840"	NA
"714"	"wyoming"	"1840"	NA
"715"	"alabama"	"1844"	9
"716"	"alaska"	"1844"	NA
"717"	"arizona"	"1844"	NA
"718"	"arkansas"	"1844"	3
"719"	"california"	"1844"	NA
"720"	"colorado"	"1844"	NA
"721"	"connecticut"	"1844"	6
"722"	"district of columbia"	"1844"	NA
"723"	"delaware"	"1844"	3
"724"	"florida"	"1844"	NA
"725"	"georgia"	"1844"	10
"726"	"hawaii"	"1844"	NA
"727"	"idaho"	"1844"	NA
"728"	"illinois"	"1844"	9
"729"	"indiana"	"1844"	12
"730"	"iowa"	"1844"	NA
"731"	"kansas"	"1844"	NA
"732"	"kentucky"	"1844"	12
"733"	"louisiana"	"1844"	6
"734"	"maine"	"1844"	9
"735"	"maryland"	"1844"	8
"736"	"massachusetts"	"1844"	12
"737"	"michigan"	"1844"	5
"738"	"minnesota"	"1844"	NA
"739"	"mississippi"	"1844"	6
"740"	"missouri"	"1844"	7
"741"	"montana"	"1844"	NA
"742"	"nebraska"	"1844"	NA
"743"	"nevada"	"1844"	NA
"744"	"new hampshire"	"1844"	6
"745"	"new jersey"	"1844"	7
"746"	"new mexico"	"1844"	NA
"747"	"new york"	"1844"	36
"748"	"north carolina"	"1844"	11
"749"	"north dakota"	"1844"	NA
"750"	"ohio"	"1844"	23
"751"	"oklahoma"	"1844"	NA
"752"	"oregon"	"1844"	NA
"753"	"pennsylvania"	"1844"	26
"754"	"rhode island"	"1844"	4
"755"	"south carolina"	"1844"	9
"756"	"south dakota"	"1844"	NA
"757"	"tennessee"	"1844"	13
"758"	"texas"	"1844"	NA
"759"	"utah"	"1844"	NA
"760"	"vermont"	"1844"	6
"761"	"virginia"	"1844"	17
"762"	"washington"	"1844"	NA
"763"	"west virginia"	"1844"	NA
"764"	"wisconsin"	"1844"	NA
"765"	"wyoming"	"1844"	NA
"766"	"alabama"	"1848"	9
"767"	"alaska"	"1848"	NA
"768"	"arizona"	"1848"	NA
"769"	"arkansas"	"1848"	3
"770"	"california"	"1848"	NA
"771"	"colorado"	"1848"	NA
"772"	"connecticut"	"1848"	6
"773"	"district of columbia"	"1848"	NA
"774"	"delaware"	"1848"	3
