"year"	"state"	"total_votes"	"votes_incumbent"	"perc_votes_incumbent"	"votes_challenger"	"perc_votes_challenger"	"incumbent"	"incumbent_party"	"challenger"	"challenger_party"	"winner"
"70"	"1972"	"louisiana"	1051491	686852	65.3	298142	28.4	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"71"	"1972"	"maine"	417042	256458	61.5	160584	38.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"72"	"1972"	"maryland"	1353812	829305	61.3	505781	37.4	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"73"	"1972"	"massachusetts"	2458756	1112078	45.2	1332540	54.2	"nixon"	"republican"	"mcgovern"	"democrat"	"demorat"
"74"	"1972"	"michigan"	3489727	1961721	56.2	1459435	41.8	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"75"	"1972"	"minnesota"	1741652	898269	51.6	802346	46.1	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"76"	"1972"	"mississippi"	645963	505125	78.2	126782	19.6	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"77"	"1972"	"missouri"	1855803	1153852	62.2	697147	37.6	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"78"	"1972"	"montana"	317603	183976	57.9	120197	37.8	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"79"	"1972"	"nebraska"	576289	406298	70.5	169991	29.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"80"	"1972"	"nevada"	181766	115750	63.7	66016	36.3	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"81"	"1972"	"new hampshire"	334055	213724	64	116435	34.9	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"82"	"1972"	"new jersey"	2997229	1845502	61.6	1102211	36.8	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"83"	"1972"	"new mexico"	386241	235606	61	141084	36.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"84"	"1972"	"new york"	7165919	4192778	58.5	2951084	41.2	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"85"	"1972"	"north carolina"	1518612	1054889	69.5	438705	28.9	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"86"	"1972"	"north dakota"	280514	174109	62.1	100384	35.8	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"87"	"1972"	"ohio"	4094787	2441827	59.6	1558889	38.1	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"88"	"1972"	"oklahoma"	1029900	759025	73.7	247147	24	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"89"	"1972"	"oregon"	927946	486686	52.4	392760	42.3	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"90"	"1972"	"pennsylvania"	4592106	2714521	59.1	1796951	39.1	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"91"	"1972"	"rhode island"	415808	220383	53	194645	46.8	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"92"	"1972"	"south carolina"	673960	477044	70.8	186824	27.7	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"93"	"1972"	"south dakota"	307415	166476	54.2	139945	45.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"94"	"1972"	"tennessee"	1201182	813147	67.7	357293	29.7	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"95"	"1972"	"texas"	3471281	2298896	66.2	1154289	33.3	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"96"	"1972"	"utah"	478476	323643	67.6	126284	26.4	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"97"	"1972"	"vermont"	186947	117149	62.7	68174	36.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"98"	"1972"	"virginia"	1457019	988493	67.8	438887	30.1	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"99"	"1972"	"washington"	1470847	837135	56.9	568334	38.6	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"100"	"1972"	"west virginia"	762399	484964	63.6	277435	36.4	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"101"	"1972"	"wisconsin"	1852890	989430	53.4	810174	43.7	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"102"	"1972"	"wyoming"	145570	100464	69	44358	30.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"103"	"1980"	"alabama"	1341929	636730	47.4	654192	48.8	"carter"	"democrat"	"reagan"	"republican"	"republican"
"104"	"1980"	"alaska"	158445	41842	26.4	86112	54.3	"carter"	"democrat"	"reagan"	"republican"	"republican"
"105"	"1980"	"arizona"	873945	246843	28.2	529688	60.6	"carter"	"democrat"	"reagan"	"republican"	"republican"
"106"	"1980"	"arkansas"	837582	398041	47.5	403164	48.1	"carter"	"democrat"	"reagan"	"republican"	"republican"
"107"	"1980"	"california"	8587063	3083661	35.9	4524858	52.7	"carter"	"democrat"	"reagan"	"republican"	"republican"
"108"	"1980"	"colorado"	1184415	367973	31.1	652264	55.1	"carter"	"democrat"	"reagan"	"republican"	"republican"
"109"	"1980"	"connecticut"	1406285	541732	38.5	677210	48.2	"carter"	"democrat"	"reagan"	"republican"	"republican"
"110"	"1980"	"delaware"	235900	105754	44.8	111252	47.2	"carter"	"democrat"	"reagan"	"republican"	"republican"
"111"	"1980"	"dist. of col."	175237	131113	74.8	23545	13.4	"carter"	"democrat"	"reagan"	"republican"	"democrat"
"112"	"1980"	"florida"	3686930	1419475	38.5	2046951	55.5	"carter"	"democrat"	"reagan"	"republican"	"republican"
"113"	"1980"	"georgia"	1596695	890733	55.8	654168	41	"carter"	"democrat"	"reagan"	"republican"	"democrat"
"114"	"1980"	"hawaii"	303287	135879	44.8	130112	42.9	"carter"	"democrat"	"reagan"	"republican"	"democrat"
"115"	"1980"	"idaho"	437431	110192	25.2	290699	66.5	"carter"	"democrat"	"reagan"	"republican"	"republican"
"116"	"1980"	"illinois"	4749721	1981413	41.7	2358049	49.6	"carter"	"democrat"	"reagan"	"republican"	"republican"
"117"	"1980"	"indiana"	2242033	844197	37.7	1255656	56	"carter"	"democrat"	"reagan"	"republican"	"republican"
"118"	"1980"	"iowa"	1317661	508672	38.6	676026	51.3	"carter"	"democrat"	"reagan"	"republican"	"republican"
"119"	"1980"	"kansas"	979795	326150	33.3	566812	57.9	"carter"	"democrat"	"reagan"	"republican"	"republican"
"120"	"1980"	"kentucky"	1294627	616417	47.6	635274	49.1	"carter"	"democrat"	"reagan"	"republican"	"republican"
"121"	"1980"	"louisiana"	1548591	708453	45.7	792853	51.2	"carter"	"democrat"	"reagan"	"republican"	"republican"
"122"	"1980"	"maine"	523011	220974	42.3	238522	45.6	"carter"	"democrat"	"reagan"	"republican"	"republican"
"123"	"1980"	"maryland"	1540496	726161	47.1	680606	44.2	"carter"	"democrat"	"reagan"	"republican"	"democrat"
"124"	"1980"	"massachusetts"	2522890	1053802	41.7	1057631	41.9	"carter"	"democrat"	"reagan"	"republican"	"republican"
"125"	"1980"	"michigan"	3909725	1661532	42.5	1915225	49	"carter"	"democrat"	"reagan"	"republican"	"republican"
"126"	"1980"	"minnesota"	2051980	954174	46.5	873268	42.6	"carter"	"democrat"	"reagan"	"republican"	"democrat"
"127"	"1980"	"mississippi"	892620	429281	48.1	441089	49.4	"carter"	"democrat"	"reagan"	"republican"	"republican"
"128"	"1980"	"missouri"	2099824	931182	44.3	1074181	51.2	"carter"	"democrat"	"reagan"	"republican"	"republican"
"129"	"1980"	"montana"	363952	118032	32.4	206814	56.8	"carter"	"democrat"	"reagan"	"republican"	"republican"
"130"	"1980"	"nebraska"	640854	166851	26	419937	65.5	"carter"	"democrat"	"reagan"	"republican"	"republican"
"131"	"1980"	"nevada"	247885	66666	26.9	155017	62.5	"carter"	"democrat"	"reagan"	"republican"	"republican"
"132"	"1980"	"new hampshire"	383990	108864	28.4	221705	57.7	"carter"	"democrat"	"reagan"	"republican"	"republican"
"133"	"1980"	"new jersey"	2975684	1147364	38.6	1546557	52	"carter"	"democrat"	"reagan"	"republican"	"republican"
"134"	"1980"	"new mexico"	456971	167826	36.7	250779	54.9	"carter"	"democrat"	"reagan"	"republican"	"republican"
"135"	"1980"	"new york"	6201959	2728372	44	2893831	46.7	"carter"	"democrat"	"reagan"	"republican"	"republican"
"136"	"1980"	"north carolina"	1855833	875635	47.2	915018	49.3	"carter"	"democrat"	"reagan"	"republican"	"republican"
"137"	"1980"	"north dakota"	301545	79189	26.3	193695	64.2	"carter"	"democrat"	"reagan"	"republican"	"republican"
"138"	"1980"	"ohio"	4283603	1752414	40.9	2206545	51.5	"carter"	"democrat"	"reagan"	"republican"	"republican"
"139"	"1980"	"oklahoma"	1149708	402026	35	695570	60.5	"carter"	"democrat"	"reagan"	"republican"	"republican"
"140"	"1980"	"oregon"	1181516	456890	38.7	571044	48.3	"carter"	"democrat"	"reagan"	"republican"	"republican"
"141"	"1980"	"pennsylvania"	4561501	1937540	42.5	2261872	49.6	"carter"	"democrat"	"reagan"	"republican"	"republican"
"142"	"1980"	"rhode island"	416072	198342	47.7	154793	37.2	"carter"	"democrat"	"reagan"	"republican"	"democrat"
"143"	"1980"	"south carolina"	894071	430385	48.1	441841	49.4	"carter"	"democrat"	"reagan"	"republican"	"republican"
"144"	"1980"	"south dakota"	327703	103855	31.7	198343	60.5	"carter"	"democrat"	"reagan"	"republican"	"republican"
"145"	"1980"	"tennessee"	1617616	783051	48.4	787761	48.7	"carter"	"democrat"	"reagan"	"republican"	"republican"
"146"	"1980"	"texas"	4541636	1881147	41.4	2510705	55.3	"carter"	"democrat"	"reagan"	"republican"	"republican"
"147"	"1980"	"utah"	604222	124266	20.6	439687	72.8	"carter"	"democrat"	"reagan"	"republican"	"republican"
"148"	"1980"	"vermont"	213299	81952	38.4	94628	44.4	"carter"	"democrat"	"reagan"	"republican"	"republican"
"149"	"1980"	"virginia"	1866032	752174	40.3	989609	53	"carter"	"democrat"	"reagan"	"republican"	"republican"
"150"	"1980"	"washington"	1742394	650193	37.3	865244	49.7	"carter"	"democrat"	"reagan"	"republican"	"republican"
"151"	"1980"	"west virginia"	737715	367462	49.8	334206	45.3	"carter"	"democrat"	"reagan"	"republican"	"democrat"
"152"	"1980"	"wisconsin"	2273221	981584	43.2	1088845	47.9	"carter"	"democrat"	"reagan"	"republican"	"republican"
"153"	"1980"	"wyoming"	176713	49427	28	110700	62.6	"carter"	"democrat"	"reagan"	"republican"	"republican"
"154"	"1984"	"alabama"	1441713	872849	60.5	551899	38.3	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"155"	"1984"	"alaska"	207605	138377	66.7	62007	29.9	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"156"	"1984"	"arizona"	1025897	681416	66.4	333854	32.5	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"157"	"1984"	"arkansas"	884406	534774	60.5	338646	38.3	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"158"	"1984"	"california"	9505423	5467009	57.5	3922519	41.3	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"159"	"1984"	"colorado"	1295380	821817	63.4	454975	35.1	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"160"	"1984"	"connecticut"	1466900	890877	60.7	569597	38.8	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"161"	"1984"	"delaware"	254572	152190	59.8	101656	39.9	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"162"	"1984"	"dist. of col."	211288	29009	13.7	180408	85.4	"reagan"	"republican"	"mondale"	"democrat"	"demorat"
"163"	"1984"	"florida"	4180051	2730350	65.3	1448816	34.7	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"164"	"1984"	"georgia"	1776120	1068722	60.2	706628	39.8	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"165"	"1984"	"hawaii"	335846	185050	55.1	147154	43.8	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"166"	"1984"	"idaho"	411144	297523	72.4	108510	26.4	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"167"	"1984"	"illinois"	4819088	2707103	56.2	2086499	43.3	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"168"	"1984"	"indiana"	2233069	1377230	61.7	841481	37.7	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"169"	"1984"	"iowa"	1319805	703088	53.3	605620	45.9	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"170"	"1984"	"kansas"	1021991	677296	66.3	333149	32.6	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"171"	"1984"	"kentucky"	1369345	821702	60	539539	39.4	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"172"	"1984"	"louisiana"	1706822	1037299	60.8	651586	38.2	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"173"	"1984"	"maine"	553144	336500	60.8	214515	38.8	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"174"	"1984"	"maryland"	1675873	879918	52.5	787935	47	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"175"	"1984"	"massachusetts"	2559453	1310936	51.2	1239606	48.4	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"176"	"1984"	"michigan"	3801658	2251571	59.2	1529638	40.2	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"177"	"1984"	"minnesota"	2084449	1032603	49.5	1036364	49.7	"reagan"	"republican"	"mondale"	"democrat"	"demorat"
"178"	"1984"	"mississippi"	941104	582377	61.9	352192	37.4	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"179"	"1984"	"missouri"	2122783	1274188	60	848583	40	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"180"	"1984"	"montana"	384377	232450	60.5	146742	38.2	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"181"	"1984"	"nebraska"	652090	460054	70.6	187866	28.8	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"182"	"1984"	"nevada"	286667	188770	65.8	91655	32	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"183"	"1984"	"new hampshire"	389066	267051	68.6	120395	30.9	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"184"	"1984"	"new jersey"	3217862	1933630	60.1	1261323	39.2	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"185"	"1984"	"new mexico"	514370	307101	59.7	201769	39.2	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"186"	"1984"	"new york"	6806810	3664763	53.8	3119609	45.8	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"187"	"1984"	"north carolina"	2175361	1346481	61.9	824287	37.9	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"188"	"1984"	"north dakota"	308971	200336	64.8	104429	33.8	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"189"	"1984"	"ohio"	4547619	2678560	58.9	1825440	40.1	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"190"	"1984"	"oklahoma"	1255676	861530	68.6	385080	30.7	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"191"	"1984"	"oregon"	1226527	685700	55.9	536479	43.7	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"192"	"1984"	"pennsylvania"	4844903	2584323	53.3	2228131	46	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"193"	"1984"	"rhode island"	410492	212080	51.7	197106	48	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"194"	"1984"	"south carolina"	968529	615539	63.6	344459	35.6	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"195"	"1984"	"south dakota"	317867	200267	63	116113	36.5	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"196"	"1984"	"tennessee"	1711994	990212	57.8	711714	41.6	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"197"	"1984"	"texas"	5397571	3433428	63.6	1949276	36.1	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"198"	"1984"	"utah"	629656	469105	74.5	155369	24.7	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"199"	"1984"	"vermont"	234561	135865	57.9	95730	40.8	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"200"	"1984"	"virginia"	2146635	1337078	62.3	796250	37.1	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"201"	"1984"	"washington"	1883910	1051670	55.8	807352	42.9	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"202"	"1984"	"west virginia"	735742	405483	55.1	328125	44.6	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"203"	"1984"	"wisconsin"	2211689	1198584	54.2	995740	45	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"204"	"1984"	"wyoming"	188968	133241	70.5	53370	28.2	"reagan"	"republican"	"mondale"	"democrat"	"republican"
"205"	"1992"	"alabama"	1688060	804283	47.6	690080	40.9	"bush"	"republican"	"clinton"	"democrat"	"republican"
"206"	"1992"	"alaska"	258506	102000	39.5	78294	30.3	"bush"	"republican"	"clinton"	"democrat"	"republican"
"207"	"1992"	"arizona"	1486975	572086	38.5	543050	36.5	"bush"	"republican"	"clinton"	"democrat"	"republican"
"208"	"1992"	"arkansas"	950653	337324	35.5	505823	53.2	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"209"	"1992"	"california"	11131721	3630574	32.6	5121325	46	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"210"	"1992"	"colorado"	1569180	562850	35.9	629681	40.1	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"211"	"1992"	"connecticut"	1616332	578313	35.8	682318	42.2	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"212"	"1992"	"delaware"	289735	102313	35.3	126054	43.5	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"213"	"1992"	"dist. of col."	227572	20698	9.1	192619	84.6	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"214"	"1992"	"florida"	5314392	2173310	40.9	2072698	39	"bush"	"republican"	"clinton"	"democrat"	"republican"
"215"	"1992"	"georgia"	2321125	995252	42.9	1008966	43.5	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"216"	"1992"	"hawaii"	372842	136822	36.7	179310	48.1	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"217"	"1992"	"idaho"	482142	202645	42	137013	28.4	"bush"	"republican"	"clinton"	"democrat"	"republican"
"218"	"1992"	"illinois"	5050157	1734096	34.3	2453350	48.6	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"219"	"1992"	"indiana"	2305871	989375	42.9	848420	36.8	"bush"	"republican"	"clinton"	"democrat"	"republican"
"220"	"1992"	"iowa"	1354607	504891	37.3	586353	43.3	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"221"	"1992"	"kansas"	1157335	449951	38.9	390434	33.7	"bush"	"republican"	"clinton"	"democrat"	"republican"
"222"	"1992"	"kentucky"	1492900	617178	41.3	665104	44.6	"bush"	"republican"	"clinton"	"democrat"	"demorat"
"223"	"1992"	"louisiana"	1790017	733386	41	815971	45.6	"bush"	"republican"	"clinton"	"democrat"	"demorat"
